account_id,customer_name,age,occupation,monthly_income,income_band,province,account_open_date,bot_confirmed_mule,bot_flagged_date,connected_component_id,pagerank_score,triangle_count,community_id,two_hop_ratio,behavior_profile,device_pattern_cluster,total_inflow_thb,unique_senders,total_outflow_thb,unique_receivers,avg_hold_time_hours,risk_score
A-1029,พงศ์พัฒน์ ธนาคม,19,part_time_worker,12000.0,<15K,Chiang Mai,2025-08-23,true,2025-12-14,0,0.189272,115,1099511627776,1.0,pass_through,1632087572480,7572159.02,17,1.705655565E7,22,142.7,0.6119
A-1030,อภิสิทธิ์ ชูศรี,22,part_time_worker,12000.0,<15K,Chiang Mai,2025-07-06,false,,0,0.204046,122,1099511627776,1.0,pass_through,51539607552,8923864.93,21,1.377110734E7,20,145.71,0.5286
A-1031,พรทิพย์ กิจเจริญ,22,unemployed,12000.0,<15K,Chiang Mai,2025-07-05,true,2025-12-13,0,0.193409,126,1099511627776,1.0,pass_through,446676598784,9485733.86,19,1.246721054E7,21,129.94,0.621
A-1032,กัญญา สมบูรณ์,30,student,12000.0,<15K,Chiang Mai,2025-07-14,true,2025-11-15,0,0.193596,122,1099511627776,1.0,pass_through,1245540515840,7142051.33,19,1.440742365E7,17,140.79,0.6203
A-1033,ธนพร สมบูรณ์,20,freelance,12000.0,<15K,Chiang Mai,2025-08-10,false,,0,0.201224,128,1099511627776,1.0,pass_through,1434519076864,6838492.6,20,1.59383029E7,22,173.58,0.526
A-1034,พีรพัฒน์ รัตนกุล,18,student,15000.0,<15K,Khon Kaen,2025-08-27,false,,0,0.203889,736,0,1.0,pass_through,103079215104,9.737238311E7,19,1.0175461631E8,204,203.38,0.634
A-1035,วีรยุทธ สิทธิชัย,25,part_time_worker,8000.0,<15K,Chonburi,2025-07-16,false,,0,0.191341,88,558345748480,1.0,pass_through,498216206336,8455898.13,18,1.592861117E7,16,206.14,0.5105
A-1036,จิรายุ แก้วมณี,35,unemployed,15000.0,<15K,Nakhon Ratchasima,2025-07-20,true,2025-11-17,0,0.179607,89,558345748480,1.0,pass_through,231928233984,8690324.96,16,1.908972229E7,19,208.62,0.6021
A-1037,พิมพ์ชนก ชัยสิทธิ์,19,freelance,15000.0,<15K,Samut Prakan,2025-07-27,true,2025-11-25,0,0.206302,94,558345748480,1.0,pass_through,103079215104,8856322.04,22,1.421987347E7,16,199.86,0.6271
A-1038,สุกัญญา อมรรัตน์,24,student,10000.0,<15K,Chonburi,2025-09-11,false,,0,0.195828,95,558345748480,1.0,pass_through,103079215104,1.064317991E7,19,1.918763648E7,21,198.41,0.5158
A-1039,กฤษณะ ใจดี,27,part_time_worker,8000.0,<15K,Chonburi,2025-10-16,false,,0,0.195744,96,558345748480,1.0,pass_through,498216206336,7571950.06,18,1.683380915E7,19,219.09,0.5129
A-1040,กิตติพงศ์ ศรีสุข,29,unemployed,8000.0,<15K,Khon Kaen,2025-08-06,false,,0,0.202233,107,558345748480,1.0,pass_through,498216206336,8483995.84,20,1.971765017E7,24,228.06,0.5224
A-1041,ณัฐธิดา ประเสริฐศรี,24,freelance,8000.0,<15K,Chonburi,2025-07-17,false,,0,0.189057,100,558345748480,1.0,pass_through,231928233984,8246619.38,18,1.501401382E7,16,224.56,0.5122
A-1042,อรุณี คำแก้ว,26,student,15000.0,<15K,Surat Thani,2025-09-14,false,,0,0.192314,92,558345748480,1.0,pass_through,231928233984,9388049.6,17,1.391216497E7,18,216.65,0.5083
A-1043,สราวุธ พลอยแก้ว,21,freelance,8000.0,<15K,Pathum Thani,2025-10-07,false,,0,0.196724,104,558345748480,1.0,pass_through,1400159338496,8494904.45,19,1.729597014E7,19,217.74,0.5176
A-1044,ปวีณา วัฒนา,29,freelance,15000.0,<15K,Nonthaburi,2025-07-05,true,2025-11-17,0,0.185368,88,558345748480,1.0,pass_through,953482739712,8017068.62,15,1.791922555E7,21,236.5,0.5999
A-1045,ณัฐพล นาคสุข,30,freelance,15000.0,<15K,Chonburi,2025-09-09,true,2025-12-08,0,0.19524,89,558345748480,1.0,pass_through,34359738368,6621583.66,18,1.597736806E7,20,218.15,0.6115
A-1046,สมหญิง พานิชย์,24,unemployed,12000.0,<15K,Chonburi,2025-09-29,true,2025-11-19,0,0.194382,91,558345748480,1.0,pass_through,94489280512,9018835.02,18,1.727218889E7,20,206.09,0.6117
A-1047,วันดี สว่างวงศ์,23,part_time_worker,15000.0,<15K,Samut Prakan,2025-10-09,false,,0,0.197134,96,558345748480,1.0,pass_through,962072674304,7701437.18,19,1.991358794E7,18,189.1,0.5163
A-1048,ชุติมา อมรรัตน์,27,freelance,12000.0,<15K,Nakhon Ratchasima,2025-07-11,false,,0,0.193243,825,0,1.0,pass_through,1211180777473,1.0077805728E8,17,1.1715880229E8,208,125.23,0.6418
A-1049,พัชรี ศรีสุข,28,student,8000.0,<15K,Khon Kaen,2025-08-19,false,,0,0.187556,66,1434519076865,1.0,pass_through,652835028992,8982404.41,17,1.95429755E7,12,128.58,0.5026
A-1050,สมศักดิ์ สุขสวัสดิ์,35,unemployed,15000.0,<15K,Rayong,2025-10-22,true,2025-12-12,0,0.200103,77,1434519076865,1.0,pass_through,163208757248,1.067117167E7,21,1.819684441E7,15,130.28,0.6196
A-1051,กมลวรรณ รุ่งเรือง,27,part_time_worker,10000.0,<15K,Khon Kaen,2025-08-02,true,2025-11-28,0,0.211028,91,1434519076865,1.0,pass_through,1211180777473,1.163587726E7,22,2.123443649E7,24,129.66,0.6275
A-1052,นิภา ศรีวิชัย,19,part_time_worker,10000.0,<15K,Khon Kaen,2025-10-14,true,2025-12-13,0,0.196017,73,1434519076865,1.0,pass_through,1211180777473,9779361.8,19,1.648553666E7,19,121.41,0.6119
A-1053,มาลี แสงจันทร์,33,part_time_worker,15000.0,<15K,Khon Kaen,2025-07-28,false,,0,0.19531,79,1434519076865,1.0,pass_through,652835028992,7917458.8,19,1.795000962E7,15,118.54,0.5128
A-1054,พงศ์พัฒน์ กิจเจริญ,22,part_time_worker,10000.0,<15K,Khon Kaen,2025-08-27,false,,0,0.177544,65,1434519076865,1.0,pass_through,652835028992,6501331.2,14,2.290322098E7,21,123.05,0.4911
A-1055,สมศักดิ์ มงคลชัย,19,unemployed,10000.0,<15K,Khon Kaen,2025-08-16,false,,0,0.20145,75,1434519076865,1.0,pass_through,163208757248,9645272.69,21,1.931365436E7,16,125.8,0.5196
A-1056,จันทร์เพ็ญ อินทร์แก้ว,25,part_time_worker,8000.0,<15K,Bangkok,2025-08-09,false,,0,0.192266,81,1434519076865,1.0,pass_through,163208757248,1.013810816E7,18,2.065241175E7,20,136.93,0.5094
A-1057,ศิริพร แซ่ลิ้ม,35,part_time_worker,15000.0,<15K,Rayong,2025-06-19,false,,0,0.180435,71,1434519076865,1.0,pass_through,249108103168,1.160836072E7,15,2.035673223E7,20,133.86,0.4959
A-1058,สมชาย แซ่ลิ้ม,21,part_time_worker,10000.0,<15K,Khon Kaen,2025-08-26,true,2025-12-14,0,0.18506,75,1434519076865,1.0,pass_through,1228360646657,1.247729897E7,16,2.003648498E7,19,124.56,0.6006
A-1059,นิภา ทองดี,24,unemployed,15000.0,<15K,Chiang Rai,2025-07-20,false,,0,0.17833,64,1434519076865,1.0,pass_through,1597727834112,7939373.34,14,1.795778457E7,16,144.9,0.4911
A-1060,ปรัชญา ใจดี,61,office_worker,25000.0,15-30K,Chonburi,2024-08-18,false,,0,0.070995,4,0,0.0,steady,1425929142272,0.0,0,505193.55,11,0.0,0.0549
A-1061,พีรพัฒน์ แซ่ลิ้ม,41,chef,45000.0,30-60K,Khon Kaen,2022-03-19,false,,0,0.070995,16,0,0.0,steady,1022202216449,0.0,0,518173.42,19,0.0,0.0371
A-1062,สุภาพร ลิ้มประเสริฐ,41,merchant,60000.0,60K+,Nakhon Ratchasima,2021-02-18,false,,0,0.070995,11,0,0.0,steady,609885356032,0.0,0,674635.63,19,0.0,0.0362
A-1063,พัชรี สิทธิชัย,27,office_worker,35000.0,30-60K,Nakhon Ratchasima,2022-02-22,false,,0,0.070995,5,0,0.0,steady,704374636545,0.0,0,445412.02,15,0.0,0.0351
A-1064,กิตติพงศ์ แซ่ตั้ง,55,merchant,80000.0,60K+,Chonburi,2022-04-01,false,,0,0.070995,11,0,0.0,steady,910533066752,0.0,0,757196.68,16,0.0,0.0362
A-1065,ณัฐพล ชูศรี,35,nurse,25000.0,15-30K,Nonthaburi,2024-04-09,false,,0,0.070995,8,0,0.0,steady,1632087572481,0.0,0,782815.13,16,0.0,0.0557
A-1066,ลัดดา อมรรัตน์,50,engineer,25000.0,15-30K,Chiang Mai,2024-05-06,false,,0,0.070995,8,17179869188,0.0,steady,326417514496,0.0,0,610630.62,20,0.0,0.0557
A-1067,ธีรภัทร แซ่ตั้ง,63,merchant,80000.0,60K+,Chiang Mai,2021-04-04,false,,0,0.070995,13,0,0.0,steady,773094113280,0.0,0,587208.62,19,0.0,0.0366
A-1068,จิรายุ ใจดี,25,chef,60000.0,60K+,Pathum Thani,2021-08-14,false,,0,0.070995,6,0,0.0,steady,833223655426,0.0,0,356421.62,20,0.0,0.0353
A-1069,ณัฐธิดา เทพพิทักษ์,52,teacher,120000.0,60K+,Samut Prakan,2023-12-14,false,,0,0.070995,6,0,0.0,steady,1434519076866,0.0,0,449961.95,13,0.0,0.0353
A-1070,ปรัชญา อมรรัตน์,54,chef,120000.0,60K+,Rayong,2024-05-07,false,,0,0.070995,8,0,0.0,steady,1632087572482,0.0,0,480760.31,12,0.0,0.0357
A-1071,สุวรรณา แซ่ลิ้ม,42,accountant,35000.0,30-60K,Songkhla,2023-08-19,false,,0,0.070995,7,0,0.0,steady,1202590842881,0.0,0,451887.25,18,0.0,0.0355
A-1072,ธนวัฒน์ สมบูรณ์,56,driver,35000.0,30-60K,Songkhla,2023-10-05,false,,0,0.070995,4,0,0.0,steady,901943132160,0.0,0,343501.77,11,0.0,0.0349
A-1073,ธนพร วงศ์สกุล,63,nurse,80000.0,60K+,Nakhon Ratchasima,2021-01-30,false,,0,0.070995,4,0,0.0,steady,1357209665536,0.0,0,212856.8,18,0.0,0.0349
A-1074,พงศ์พัฒน์ ภูวนาท,56,lawyer,35000.0,30-60K,Udon Thani,2024-11-24,false,,0,0.070995,2,0,0.0,steady,695784701952,0.0,0,267066.57,10,0.0,0.0346
A-1075,ศิริพร อินทร์แก้ว,30,nurse,35000.0,30-60K,Songkhla,2023-04-18,false,,0,0.070995,1,0,0.0,steady,944892805120,0.0,0,274208.82,10,0.0,0.0344
A-1076,นิภา วัฒนา,60,lawyer,45000.0,30-60K,Songkhla,2023-05-31,false,,0,0.070995,4,0,0.0,steady,833223655427,0.0,0,267780.3,15,0.0,0.0349
A-1077,ธนกฤต ธนาคม,42,nurse,45000.0,30-60K,Chiang Mai,2022-04-27,false,,0,0.070995,5,0,0.0,steady,738734374912,0.0,0,550062.55,15,0.0,0.0351
A-1078,นพดล รุ่งเรือง,37,engineer,120000.0,60K+,Chiang Rai,2023-09-28,false,,0,0.070995,3,17179869188,0.0,steady,343597383680,0.0,0,159571.75,13,0.0,0.0347
A-1079,ณัฐพล สุขสวัสดิ์,31,engineer,45000.0,30-60K,Pathum Thani,2022-04-20,false,,0,0.070995,5,0,0.0,steady,738734374913,0.0,0,328343.93,23,0.0,0.0351
A-1080,สมศักดิ์ ภูวนาท,42,office_worker,25000.0,15-30K,Chiang Mai,2024-02-17,false,,0,0.070995,2,0,0.0,steady,1305670057985,0.0,0,197694.32,13,0.0,0.0546
A-1081,อนุชา พงษ์สวัสดิ์,61,nurse,60000.0,60K+,Khon Kaen,2023-09-17,false,,0,0.070995,10,0,0.0,steady,326417514497,0.0,0,469836.79,20,0.0,0.036
A-1082,รัฐพล พงษ์สวัสดิ์,32,merchant,60000.0,60K+,Chonburi,2023-10-14,false,,0,0.070995,3,0,0.0,steady,515396075520,0.0,0,292493.21,18,0.0,0.0347
A-1083,อัครพล ไชยวงค์,61,nurse,25000.0,15-30K,Chiang Rai,2022-06-02,false,,0,0.070995,9,0,0.0,steady,1151051235328,0.0,0,397288.38,20,0.0,0.0558
A-1084,นพดล คำแก้ว,58,chef,60000.0,60K+,Khon Kaen,2023-07-05,false,,0,0.070995,5,0,0.0,steady,188978561025,0.0,0,255544.22,12,0.0,0.0351
A-1085,ชัยวัฒน์ วงศ์สกุล,64,merchant,35000.0,30-60K,Chonburi,2024-07-14,false,,0,0.070995,8,0,0.0,steady,498216206337,0.0,0,329463.77,14,0.0,0.0357
A-1086,ปิยะ ศรีวิชัย,36,lawyer,25000.0,15-30K,Udon Thani,2021-11-26,false,,0,0.070995,4,0,0.0,steady,1176821039104,0.0,0,427502.43,16,0.0,0.0549
A-1087,รัตนา ศรีสุข,27,engineer,45000.0,30-60K,Nonthaburi,2022-08-12,false,,0,0.070995,12,0,0.0,steady,1443109011456,0.0,0,729411.36,22,0.0,0.0364
A-1088,เกียรติศักดิ์ พิทักษ์,41,civil_servant,120000.0,60K+,Nonthaburi,2022-02-19,false,,0,0.070995,2,0,0.0,dormant_then_active,1185410973696,0.0,0,287612.88,6,0.0,0.1146
A-1089,ณัฐพล ศรีวิชัย,42,teacher,25000.0,15-30K,Pathum Thani,2021-05-12,false,,0,0.070995,15,1434519076865,0.0,steady,979252543488,0.0,0,600611.04,17,0.0,0.0569
A-1090,ศุภกร ศักดิ์สิทธิ์,53,merchant,60000.0,60K+,Surat Thani,2024-11-20,false,,0,0.070995,5,0,0.0,steady,841813590016,0.0,0,635605.31,15,0.0,0.0351
A-1091,ดวงใจ ธนาคม,53,merchant,80000.0,60K+,Chiang Rai,2021-04-01,false,,0,0.070995,9,0,0.0,steady,1082331758592,0.0,0,888458.81,19,0.0,0.0358
A-1092,อัจฉรา อินทร์แก้ว,26,merchant,35000.0,30-60K,Bangkok,2024-10-21,false,,0,0.070995,12,0,0.0,steady,781684047872,0.0,0,612718.65,14,0.0,0.0364
A-1093,รัตนา ศักดิ์สิทธิ์,61,office_worker,35000.0,30-60K,Chonburi,2023-08-31,false,,0,0.070995,3,0,0.0,steady,687194767360,0.0,0,351637.22,12,0.0,0.0347
A-1094,พีรพัฒน์ ธนาคม,65,accountant,25000.0,15-30K,Nonthaburi,2023-08-30,false,,0,0.070995,3,0,0.0,steady,1185410973697,0.0,0,256992.48,9,0.0,0.0547
A-1095,ชัยวัฒน์ จงรักษ์,35,driver,60000.0,60K+,Rayong,2024-11-30,false,,0,0.070995,10,0,0.0,steady,1279900254208,0.0,0,565030.96,16,0.0,0.036
A-1096,อัครพล จงรักษ์,54,merchant,45000.0,30-60K,Rayong,2022-06-10,false,,0,0.070995,4,0,0.0,steady,884763262976,0.0,0,479449.89,13,0.0,0.0349
A-1097,จิรายุ เทพพิทักษ์,59,accountant,60000.0,60K+,Samut Prakan,2021-05-01,false,,0,0.070995,2,0,0.0,steady,884763262977,0.0,0,260503.47,13,0.0,0.0346
A-1098,สมศักดิ์ กิจเจริญ,65,accountant,25000.0,15-30K,Udon Thani,2022-03-02,false,,0,0.070995,13,0,0.0,steady,1649267441664,0.0,0,335225.5,24,0.0,0.0566
A-1099,กมลวรรณ ชัยสิทธิ์,32,office_worker,120000.0,60K+,Khon Kaen,2024-06-09,false,,0,0.070995,6,0,0.0,steady,197568495616,0.0,0,491857.18,18,0.0,0.0353
A-1100,ปวีณา บุญมาก,60,chef,25000.0,15-30K,Udon Thani,2022-04-15,false,,0,0.070995,7,0,0.0,steady,601295421440,0.0,0,551349.82,18,0.0,0.0555
A-1101,ณัฐธิดา ไชยวงค์,34,accountant,120000.0,60K+,Rayong,2022-08-30,false,,0,0.070995,23,0,0.0,steady,858993459201,0.0,0,581786.71,19,0.0,0.0384
A-1102,ธนกฤต ศรีวิชัย,55,engineer,60000.0,60K+,Surat Thani,2024-02-12,false,,0,0.070995,14,0,0.0,steady,996432412674,0.0,0,334556.98,25,0.0,0.0367
A-1103,วันดี ศักดิ์สิทธิ์,29,nurse,60000.0,60K+,Rayong,2022-12-07,false,,0,0.070995,13,0,0.0,steady,42949672960,0.0,0,807113.92,19,0.0,0.0366
A-1104,มาลี สิทธิชัย,43,nurse,80000.0,60K+,Udon Thani,2024-04-11,false,,0,0.070995,8,0,0.0,steady,721554505729,0.0,0,469525.06,19,0.0,0.0357
A-1105,สราวุธ ธนาคม,47,driver,80000.0,60K+,Rayong,2024-01-27,false,,0,0.070995,15,0,0.0,steady,927712935936,0.0,0,439342.41,25,0.0,0.0369
A-1106,สุกัญญา แก้วมณี,40,civil_servant,60000.0,60K+,Songkhla,2022-05-03,false,,0,0.070995,5,0,0.0,steady,1262720385024,0.0,0,396558.05,15,0.0,0.0351
A-1107,มาลี แก้วมณี,49,chef,120000.0,60K+,Chonburi,2024-09-06,false,,0,0.070995,25,0,0.0,steady,893353197568,0.0,0,633087.04,27,0.0,0.0387
A-1108,สมหญิง สิทธิชัย,31,accountant,25000.0,15-30K,Phuket,2023-12-23,false,,0,0.070995,7,0,0.0,steady,1614907703296,0.0,0,465918.44,19,0.0,0.0555
A-1109,จันทร์เพ็ญ วงศ์สกุล,29,accountant,45000.0,30-60K,Rayong,2022-12-04,false,,0,0.070995,3,0,0.0,steady,386547056640,0.0,0,166759.84,16,0.0,0.0347
A-1110,ชุติมา ภูวนาท,59,chef,45000.0,30-60K,Rayong,2024-07-16,false,,0,0.070995,1,0,0.0,steady,850403524608,0.0,0,269531.86,10,0.0,0.0344
A-1111,ศิริพร พิทักษ์,64,merchant,35000.0,30-60K,Pathum Thani,2024-07-25,false,,0,0.070995,4,0,0.0,steady,541165879296,0.0,0,339636.65,18,0.0,0.0349
A-1112,พงศ์พัฒน์ พานิชย์,52,merchant,120000.0,60K+,Lampang,2021-08-03,false,,0,0.070995,12,0,0.0,steady,1297080123392,0.0,0,174769.4,21,0.0,0.0364
A-1113,ธีรภัทร สิทธิชัย,27,driver,25000.0,15-30K,Nakhon Ratchasima,2022-09-02,false,,0,0.070995,7,17179869188,0.0,steady,8589934592,0.0,0,475864.05,17,0.0,0.0555
A-1114,ปรัชญา แซ่ลิ้ม,61,teacher,35000.0,30-60K,Chiang Rai,2022-01-03,false,,0,0.070995,13,0,0.0,steady,618475290624,0.0,0,527493.77,24,0.0,0.0366
A-1115,กิตติพงศ์ ใจดี,56,civil_servant,35000.0,30-60K,Khon Kaen,2022-04-30,false,,0,0.070995,6,0,0.0,steady,807453851648,0.0,0,464887.14,17,0.0,0.0353
A-1116,ปิยะ ลิ้มประเสริฐ,54,nurse,120000.0,60K+,Chiang Rai,2024-02-03,false,,0,0.070995,8,0,0.0,steady,807453851649,0.0,0,326857.24,22,0.0,0.0357
A-1117,ณัฐพล วิไลวรรณ,65,chef,120000.0,60K+,Phuket,2022-06-06,false,,0,0.070995,6,0,0.0,steady,214748364800,0.0,0,212921.4,15,0.0,0.0353
A-1118,ณัฐพล กิจเจริญ,31,engineer,60000.0,60K+,Bangkok,2024-03-26,false,,0,0.070995,6,0,0.0,steady,635655159808,0.0,0,198939.03,17,0.0,0.0353
A-1119,สุภาพร ศรีวิชัย,42,office_worker,80000.0,60K+,Pathum Thani,2024-11-14,false,,0,0.070995,5,0,0.0,steady,1262720385025,0.0,0,239849.89,17,0.0,0.0351
A-1120,ธนกฤต เทพพิทักษ์,43,engineer,80000.0,60K+,Khon Kaen,2023-01-01,false,,0,0.070995,5,17179869188,0.0,steady,257698037760,0.0,0,410214.64,12,0.0,0.0351
A-1121,ธนวัฒน์ แสงจันทร์,65,merchant,120000.0,60K+,Bangkok,2024-08-25,false,,0,0.070995,5,0,0.0,steady,309237645312,0.0,0,429100.27,16,0.0,0.0351
A-1122,ปิยะดา วิไลวรรณ,33,merchant,45000.0,30-60K,Chonburi,2022-11-10,false,,0,0.070995,11,0,0.0,steady,1657857376257,0.0,0,369238.15,24,0.0,0.0362
A-1123,กฤษณะ สว่างวงศ์,58,lawyer,45000.0,30-60K,Samut Prakan,2021-12-12,false,,0,0.070995,5,0,0.0,steady,214748364801,0.0,0,239592.84,19,0.0,0.0351
A-1124,ภูมิพัฒน์ จงรักษ์,46,merchant,60000.0,60K+,Rayong,2021-06-13,false,,0,0.070995,9,0,0.0,steady,8589934593,0.0,0,276037.04,16,0.0,0.0358
A-1125,รัตนา แซ่ตั้ง,30,chef,25000.0,15-30K,Nonthaburi,2022-07-05,false,,0,0.070995,5,0,0.0,steady,1279900254209,0.0,0,256520.95,22,0.0,0.0551
A-1126,ภูมิพัฒน์ สว่างวงศ์,62,chef,120000.0,60K+,Bangkok,2023-02-09,false,,0,0.070995,1,0,0.0,steady,257698037761,0.0,0,373390.71,16,0.0,0.0344
A-1127,รัตนา พานิชย์,64,engineer,120000.0,60K+,Nonthaburi,2021-05-19,false,,0,0.070995,15,17179869188,0.0,steady,1546188226560,0.0,0,581663.76,20,0.0,0.0369
A-1128,วรพล บุญมาก,32,teacher,25000.0,15-30K,Chiang Mai,2021-03-27,false,,0,0.070995,4,0,0.0,steady,1073741824000,0.0,0,128677.99,15,0.0,0.0549
