account_id,customer_name,age,occupation,monthly_income,income_band,province,account_open_date,bot_confirmed_mule,bot_flagged_date,connected_component_id,community_id,pagerank_score,triangle_count,two_hop_ratio,device_pattern_cluster,behavior_profile,total_inflow_thb,total_outflow_thb,unique_senders,unique_receivers,avg_hold_time_hours,risk_score
A-1053,มาลี แสงจันทร์,33,part_time_worker,15000.00,<15K,Khon Kaen,2025-07-28,f,,0,1434519076865,0.19531,79,1,652835028992,pass_through,7917458.80,17950009.62,19,15,118.54,0.5128
A-1054,พงศ์พัฒน์ กิจเจริญ,22,part_time_worker,10000.00,<15K,Khon Kaen,2025-08-27,f,,0,1434519076865,0.177544,65,1,652835028992,pass_through,6501331.20,22903220.98,14,21,123.05,0.4911
A-1055,สมศักดิ์ มงคลชัย,19,unemployed,10000.00,<15K,Khon Kaen,2025-08-16,f,,0,1434519076865,0.20145,75,1,163208757248,pass_through,9645272.69,19313654.36,21,16,125.8,0.5196
A-1056,จันทร์เพ็ญ อินทร์แก้ว,25,part_time_worker,8000.00,<15K,Bangkok,2025-08-09,f,,0,1434519076865,0.192266,81,1,163208757248,pass_through,10138108.16,20652411.75,18,20,136.93,0.5094
A-1057,ศิริพร แซ่ลิ้ม,35,part_time_worker,15000.00,<15K,Rayong,2025-06-19,f,,0,1434519076865,0.180435,71,1,249108103168,pass_through,11608360.72,20356732.23,15,20,133.86,0.4959
A-1058,สมชาย แซ่ลิ้ม,21,part_time_worker,10000.00,<15K,Khon Kaen,2025-08-26,t,2025-12-14,0,1434519076865,0.18506,75,1,1228360646657,pass_through,12477298.97,20036484.98,16,19,124.56,0.6006
A-1059,นิภา ทองดี,24,unemployed,15000.00,<15K,Chiang Rai,2025-07-20,f,,0,1434519076865,0.17833,64,1,1597727834112,pass_through,7939373.34,17957784.57,14,16,144.9,0.4911
A-1060,ปรัชญา ใจดี,61,office_worker,25000.00,15-30K,Chonburi,2024-08-18,f,,0,0,0.070995,4,0,1425929142272,steady,0.00,505193.55,0,11,0,0.0549
A-1061,พีรพัฒน์ แซ่ลิ้ม,41,chef,45000.00,30-60K,Khon Kaen,2022-03-19,f,,0,0,0.070995,16,0,1022202216449,steady,0.00,518173.42,0,19,0,0.0371
A-1062,สุภาพร ลิ้มประเสริฐ,41,merchant,60000.00,60K+,Nakhon Ratchasima,2021-02-18,f,,0,0,0.070995,11,0,609885356032,steady,0.00,674635.63,0,19,0,0.0362
A-1063,พัชรี สิทธิชัย,27,office_worker,35000.00,30-60K,Nakhon Ratchasima,2022-02-22,f,,0,0,0.070995,5,0,704374636545,steady,0.00,445412.02,0,15,0,0.0351
A-1064,กิตติพงศ์ แซ่ตั้ง,55,merchant,80000.00,60K+,Chonburi,2022-04-01,f,,0,0,0.070995,11,0,910533066752,steady,0.00,757196.68,0,16,0,0.0362
A-1065,ณัฐพล ชูศรี,35,nurse,25000.00,15-30K,Nonthaburi,2024-04-09,f,,0,0,0.070995,8,0,1632087572481,steady,0.00,782815.13,0,16,0,0.0557
A-1066,ลัดดา อมรรัตน์,50,engineer,25000.00,15-30K,Chiang Mai,2024-05-06,f,,0,17179869188,0.070995,8,0,326417514496,steady,0.00,610630.62,0,20,0,0.0557
A-1067,ธีรภัทร แซ่ตั้ง,63,merchant,80000.00,60K+,Chiang Mai,2021-04-04,f,,0,0,0.070995,13,0,773094113280,steady,0.00,587208.62,0,19,0,0.0366
A-1068,จิรายุ ใจดี,25,chef,60000.00,60K+,Pathum Thani,2021-08-14,f,,0,0,0.070995,6,0,833223655426,steady,0.00,356421.62,0,20,0,0.0353
A-1069,ณัฐธิดา เทพพิทักษ์,52,teacher,120000.00,60K+,Samut Prakan,2023-12-14,f,,0,0,0.070995,6,0,1434519076866,steady,0.00,449961.95,0,13,0,0.0353
A-1070,ปรัชญา อมรรัตน์,54,chef,120000.00,60K+,Rayong,2024-05-07,f,,0,0,0.070995,8,0,1632087572482,steady,0.00,480760.31,0,12,0,0.0357
A-1071,สุวรรณา แซ่ลิ้ม,42,accountant,35000.00,30-60K,Songkhla,2023-08-19,f,,0,0,0.070995,7,0,1202590842881,steady,0.00,451887.25,0,18,0,0.0355
A-1072,ธนวัฒน์ สมบูรณ์,56,driver,35000.00,30-60K,Songkhla,2023-10-05,f,,0,0,0.070995,4,0,901943132160,steady,0.00,343501.77,0,11,0,0.0349
A-1073,ธนพร วงศ์สกุล,63,nurse,80000.00,60K+,Nakhon Ratchasima,2021-01-30,f,,0,0,0.070995,4,0,1357209665536,steady,0.00,212856.80,0,18,0,0.0349
A-1074,พงศ์พัฒน์ ภูวนาท,56,lawyer,35000.00,30-60K,Udon Thani,2024-11-24,f,,0,0,0.070995,2,0,695784701952,steady,0.00,267066.57,0,10,0,0.0346
A-1075,ศิริพร อินทร์แก้ว,30,nurse,35000.00,30-60K,Songkhla,2023-04-18,f,,0,0,0.070995,1,0,944892805120,steady,0.00,274208.82,0,10,0,0.0344
A-1076,นิภา วัฒนา,60,lawyer,45000.00,30-60K,Songkhla,2023-05-31,f,,0,0,0.070995,4,0,833223655427,steady,0.00,267780.30,0,15,0,0.0349
A-1077,ธนกฤต ธนาคม,42,nurse,45000.00,30-60K,Chiang Mai,2022-04-27,f,,0,0,0.070995,5,0,738734374912,steady,0.00,550062.55,0,15,0,0.0351
A-1078,นพดล รุ่งเรือง,37,engineer,120000.00,60K+,Chiang Rai,2023-09-28,f,,0,17179869188,0.070995,3,0,343597383680,steady,0.00,159571.75,0,13,0,0.0347
A-1079,ณัฐพล สุขสวัสดิ์,31,engineer,45000.00,30-60K,Pathum Thani,2022-04-20,f,,0,0,0.070995,5,0,738734374913,steady,0.00,328343.93,0,23,0,0.0351
A-1080,สมศักดิ์ ภูวนาท,42,office_worker,25000.00,15-30K,Chiang Mai,2024-02-17,f,,0,0,0.070995,2,0,1305670057985,steady,0.00,197694.32,0,13,0,0.0546
A-1081,อนุชา พงษ์สวัสดิ์,61,nurse,60000.00,60K+,Khon Kaen,2023-09-17,f,,0,0,0.070995,10,0,326417514497,steady,0.00,469836.79,0,20,0,0.036
A-1082,รัฐพล พงษ์สวัสดิ์,32,merchant,60000.00,60K+,Chonburi,2023-10-14,f,,0,0,0.070995,3,0,515396075520,steady,0.00,292493.21,0,18,0,0.0347
A-1083,อัครพล ไชยวงค์,61,nurse,25000.00,15-30K,Chiang Rai,2022-06-02,f,,0,0,0.070995,9,0,1151051235328,steady,0.00,397288.38,0,20,0,0.0558
A-1084,นพดล คำแก้ว,58,chef,60000.00,60K+,Khon Kaen,2023-07-05,f,,0,0,0.070995,5,0,188978561025,steady,0.00,255544.22,0,12,0,0.0351
A-1085,ชัยวัฒน์ วงศ์สกุล,64,merchant,35000.00,30-60K,Chonburi,2024-07-14,f,,0,0,0.070995,8,0,498216206337,steady,0.00,329463.77,0,14,0,0.0357
A-1086,ปิยะ ศรีวิชัย,36,lawyer,25000.00,15-30K,Udon Thani,2021-11-26,f,,0,0,0.070995,4,0,1176821039104,steady,0.00,427502.43,0,16,0,0.0549
A-1087,รัตนา ศรีสุข,27,engineer,45000.00,30-60K,Nonthaburi,2022-08-12,f,,0,0,0.070995,12,0,1443109011456,steady,0.00,729411.36,0,22,0,0.0364
A-1088,เกียรติศักดิ์ พิทักษ์,41,civil_servant,120000.00,60K+,Nonthaburi,2022-02-19,f,,0,0,0.070995,2,0,1185410973696,dormant_then_active,0.00,287612.88,0,6,0,0.1146
A-1089,ณัฐพล ศรีวิชัย,42,teacher,25000.00,15-30K,Pathum Thani,2021-05-12,f,,0,1434519076865,0.070995,15,0,979252543488,steady,0.00,600611.04,0,17,0,0.0569
A-1090,ศุภกร ศักดิ์สิทธิ์,53,merchant,60000.00,60K+,Surat Thani,2024-11-20,f,,0,0,0.070995,5,0,841813590016,steady,0.00,635605.31,0,15,0,0.0351
A-1091,ดวงใจ ธนาคม,53,merchant,80000.00,60K+,Chiang Rai,2021-04-01,f,,0,0,0.070995,9,0,1082331758592,steady,0.00,888458.81,0,19,0,0.0358
A-1092,อัจฉรา อินทร์แก้ว,26,merchant,35000.00,30-60K,Bangkok,2024-10-21,f,,0,0,0.070995,12,0,781684047872,steady,0.00,612718.65,0,14,0,0.0364
A-1093,รัตนา ศักดิ์สิทธิ์,61,office_worker,35000.00,30-60K,Chonburi,2023-08-31,f,,0,0,0.070995,3,0,687194767360,steady,0.00,351637.22,0,12,0,0.0347
A-1094,พีรพัฒน์ ธนาคม,65,accountant,25000.00,15-30K,Nonthaburi,2023-08-30,f,,0,0,0.070995,3,0,1185410973697,steady,0.00,256992.48,0,9,0,0.0547
A-1095,ชัยวัฒน์ จงรักษ์,35,driver,60000.00,60K+,Rayong,2024-11-30,f,,0,0,0.070995,10,0,1279900254208,steady,0.00,565030.96,0,16,0,0.036
A-1096,อัครพล จงรักษ์,54,merchant,45000.00,30-60K,Rayong,2022-06-10,f,,0,0,0.070995,4,0,884763262976,steady,0.00,479449.89,0,13,0,0.0349
A-1097,จิรายุ เทพพิทักษ์,59,accountant,60000.00,60K+,Samut Prakan,2021-05-01,f,,0,0,0.070995,2,0,884763262977,steady,0.00,260503.47,0,13,0,0.0346
A-1098,สมศักดิ์ กิจเจริญ,65,accountant,25000.00,15-30K,Udon Thani,2022-03-02,f,,0,0,0.070995,13,0,1649267441664,steady,0.00,335225.50,0,24,0,0.0566
A-1099,กมลวรรณ ชัยสิทธิ์,32,office_worker,120000.00,60K+,Khon Kaen,2024-06-09,f,,0,0,0.070995,6,0,197568495616,steady,0.00,491857.18,0,18,0,0.0353
A-1100,ปวีณา บุญมาก,60,chef,25000.00,15-30K,Udon Thani,2022-04-15,f,,0,0,0.070995,7,0,601295421440,steady,0.00,551349.82,0,18,0,0.0555
A-1101,ณัฐธิดา ไชยวงค์,34,accountant,120000.00,60K+,Rayong,2022-08-30,f,,0,0,0.070995,23,0,858993459201,steady,0.00,581786.71,0,19,0,0.0384
A-1102,ธนกฤต ศรีวิชัย,55,engineer,60000.00,60K+,Surat Thani,2024-02-12,f,,0,0,0.070995,14,0,996432412674,steady,0.00,334556.98,0,25,0,0.0367
A-1103,วันดี ศักดิ์สิทธิ์,29,nurse,60000.00,60K+,Rayong,2022-12-07,f,,0,0,0.070995,13,0,42949672960,steady,0.00,807113.92,0,19,0,0.0366
A-1104,มาลี สิทธิชัย,43,nurse,80000.00,60K+,Udon Thani,2024-04-11,f,,0,0,0.070995,8,0,721554505729,steady,0.00,469525.06,0,19,0,0.0357
A-1105,สราวุธ ธนาคม,47,driver,80000.00,60K+,Rayong,2024-01-27,f,,0,0,0.070995,15,0,927712935936,steady,0.00,439342.41,0,25,0,0.0369
A-1106,สุกัญญา แก้วมณี,40,civil_servant,60000.00,60K+,Songkhla,2022-05-03,f,,0,0,0.070995,5,0,1262720385024,steady,0.00,396558.05,0,15,0,0.0351
A-1107,มาลี แก้วมณี,49,chef,120000.00,60K+,Chonburi,2024-09-06,f,,0,0,0.070995,25,0,893353197568,steady,0.00,633087.04,0,27,0,0.0387
A-1108,สมหญิง สิทธิชัย,31,accountant,25000.00,15-30K,Phuket,2023-12-23,f,,0,0,0.070995,7,0,1614907703296,steady,0.00,465918.44,0,19,0,0.0555
A-1109,จันทร์เพ็ญ วงศ์สกุล,29,accountant,45000.00,30-60K,Rayong,2022-12-04,f,,0,0,0.070995,3,0,386547056640,steady,0.00,166759.84,0,16,0,0.0347
A-1110,ชุติมา ภูวนาท,59,chef,45000.00,30-60K,Rayong,2024-07-16,f,,0,0,0.070995,1,0,850403524608,steady,0.00,269531.86,0,10,0,0.0344
A-1111,ศิริพร พิทักษ์,64,merchant,35000.00,30-60K,Pathum Thani,2024-07-25,f,,0,0,0.070995,4,0,541165879296,steady,0.00,339636.65,0,18,0,0.0349
A-1112,พงศ์พัฒน์ พานิชย์,52,merchant,120000.00,60K+,Lampang,2021-08-03,f,,0,0,0.070995,12,0,1297080123392,steady,0.00,174769.40,0,21,0,0.0364
A-1113,ธีรภัทร สิทธิชัย,27,driver,25000.00,15-30K,Nakhon Ratchasima,2022-09-02,f,,0,17179869188,0.070995,7,0,8589934592,steady,0.00,475864.05,0,17,0,0.0555
A-1114,ปรัชญา แซ่ลิ้ม,61,teacher,35000.00,30-60K,Chiang Rai,2022-01-03,f,,0,0,0.070995,13,0,618475290624,steady,0.00,527493.77,0,24,0,0.0366
A-1115,กิตติพงศ์ ใจดี,56,civil_servant,35000.00,30-60K,Khon Kaen,2022-04-30,f,,0,0,0.070995,6,0,807453851648,steady,0.00,464887.14,0,17,0,0.0353
A-1116,ปิยะ ลิ้มประเสริฐ,54,nurse,120000.00,60K+,Chiang Rai,2024-02-03,f,,0,0,0.070995,8,0,807453851649,steady,0.00,326857.24,0,22,0,0.0357
A-1117,ณัฐพล วิไลวรรณ,65,chef,120000.00,60K+,Phuket,2022-06-06,f,,0,0,0.070995,6,0,214748364800,steady,0.00,212921.40,0,15,0,0.0353
A-1118,ณัฐพล กิจเจริญ,31,engineer,60000.00,60K+,Bangkok,2024-03-26,f,,0,0,0.070995,6,0,635655159808,steady,0.00,198939.03,0,17,0,0.0353
A-1119,สุภาพร ศรีวิชัย,42,office_worker,80000.00,60K+,Pathum Thani,2024-11-14,f,,0,0,0.070995,5,0,1262720385025,steady,0.00,239849.89,0,17,0,0.0351
A-1120,ธนกฤต เทพพิทักษ์,43,engineer,80000.00,60K+,Khon Kaen,2023-01-01,f,,0,17179869188,0.070995,5,0,257698037760,steady,0.00,410214.64,0,12,0,0.0351
A-1121,ธนวัฒน์ แสงจันทร์,65,merchant,120000.00,60K+,Bangkok,2024-08-25,f,,0,0,0.070995,5,0,309237645312,steady,0.00,429100.27,0,16,0,0.0351
A-1122,ปิยะดา วิไลวรรณ,33,merchant,45000.00,30-60K,Chonburi,2022-11-10,f,,0,0,0.070995,11,0,1657857376257,steady,0.00,369238.15,0,24,0,0.0362
A-1123,กฤษณะ สว่างวงศ์,58,lawyer,45000.00,30-60K,Samut Prakan,2021-12-12,f,,0,0,0.070995,5,0,214748364801,steady,0.00,239592.84,0,19,0,0.0351
A-1124,ภูมิพัฒน์ จงรักษ์,46,merchant,60000.00,60K+,Rayong,2021-06-13,f,,0,0,0.070995,9,0,8589934593,steady,0.00,276037.04,0,16,0,0.0358
A-1125,รัตนา แซ่ตั้ง,30,chef,25000.00,15-30K,Nonthaburi,2022-07-05,f,,0,0,0.070995,5,0,1279900254209,steady,0.00,256520.95,0,22,0,0.0551
A-1126,ภูมิพัฒน์ สว่างวงศ์,62,chef,120000.00,60K+,Bangkok,2023-02-09,f,,0,0,0.070995,1,0,257698037761,steady,0.00,373390.71,0,16,0,0.0344
A-1127,รัตนา พานิชย์,64,engineer,120000.00,60K+,Nonthaburi,2021-05-19,f,,0,17179869188,0.070995,15,0,1546188226560,steady,0.00,581663.76,0,20,0,0.0369
A-1128,วรพล บุญมาก,32,teacher,25000.00,15-30K,Chiang Mai,2021-03-27,f,,0,0,0.070995,4,0,1073741824000,steady,0.00,128677.99,0,15,0,0.0549
A-1129,สุทธิพงศ์ พลอยแก้ว,59,teacher,60000.00,60K+,Phuket,2023-07-28,f,,0,0,0.070995,11,0,266287972352,steady,0.00,498862.28,0,17,0,0.0362
A-1130,กิตติพงศ์ แก้วมณี,51,merchant,60000.00,60K+,Pathum Thani,2024-06-23,f,,0,0,0.070995,4,0,944892805121,steady,0.00,196304.10,0,21,0,0.0349
A-1131,นภาพร แซ่ตั้ง,38,accountant,60000.00,60K+,Surat Thani,2022-05-08,f,,0,0,0.070995,10,0,1382979469312,steady,0.00,759609.93,0,16,0,0.036
A-1132,พรรณี ใจดี,28,chef,45000.00,30-60K,Chiang Mai,2022-02-02,f,,0,0,0.070995,6,0,876173328385,steady,0.00,172554.75,0,16,0,0.0353
A-1133,พิมพ์ชนก รัตนกุล,65,civil_servant,25000.00,15-30K,Samut Prakan,2021-04-23,f,,0,0,0.070995,16,0,721554505730,steady,0.00,419912.05,0,23,0,0.0571
A-1134,ปรัชญา พิทักษ์,29,lawyer,35000.00,30-60K,Songkhla,2024-04-24,f,,0,274877906944,0.070995,8,0,1511828488192,steady,0.00,437921.92,0,16,0,0.0357
